Id_studenta	Imie	Nazwisko	Uczelnia	id_uczelni	Miasto	Kod_pocztowy	Rok_studiow	Dochod_na_osobe
300	Jan	Bator	Politechnika Królewska	2	Katowice	72-241	I	2738
301	Eleonora	Mrowka	Politechnika Informatyczno-Elektroniczna	3	KuŸnia Raciborska	78-122	I	2064
302	Andrzej	Beki	Politechnika Królewska	3	Tychy	76-939	I	465
303	Boleslawa	Kucharska	Uniwersytet Królewski	2	Gliwice	11-608	V	1291
304	Wojciech	Fujarewicz	Politechnika Informatyczno-Elektroniczna	3	Zabrze	91-525	II	2125
305	Iwona	Grzybek	Politechnika Królewska	5	Chorzów	97-545	I	787
306	Maria	Zwojec	Uniwersytet Królewski	2	Sosnowiec	14-721	I	2155
307	Mateusz	Kandora	Uniwersytet Królewski	3	Bêdzin	69-501	I	3218
308	Daniel	Barszcz	Uniwersytet Królewski	5	Sanok	71-890	I	2273
309	Teresa	Grudzinska	Uniwersytet Królewski	5	Œwiêtoch³owice	38-932	II	1283
310	Franciszka	Nowicka	Uniwersytet Królewski	5	Bytom	80-339	II	1863
311	Karolina	Bajerowicz	Uniwersytet Królewski	5	Na³êczów	83-630	I	1965
312	Barbara	Wszedobyl	Uniwersytet Pedagogiczny	5	Chalupki	70-071	I	1182
313	Izolda	Jaros	Politechnika Informatyczno-Elektroniczna	5	Jakuszyce	89-300	I	2207
314	Grazyna	Gorska	Politechnika Królewska	7	¯yrardów	51-006	V	1453
315	Piotr	Kacprzak	Uniwersytet Królewski	2	Bielsk Podlaski	96-087	I	983
316	Grzegorz	Balon	Politechnika Informatyczno-Elektroniczna	3	Zakopane	00-995	III	917
317	Zdzislawa	Modrzewska	Politechnika Królewska	5	M³ynarze	72-438	III	2124
318	Aleksander	Biborski	Politechnika Informatyczno-Elektroniczna	2	Czêstochowa	86-116	III	3254
319	Dominik	Felinski	Politechnika Informatyczno-Elektroniczna	3	Ogrodzieniec	82-082	V	2842
320	Arkadiusz	Maciejewski	Politechnika Informatyczno-Elektroniczna	2	Zamoœæ	99-773	IV	1879
321	Milosz	Ostrowski	Uniwersytet Królewski	2	Limanowa	65-385	I	978
322	Marzena	Skrzypek	Uniwersytet Sportu i Turystyki	2	£azy	63-587	V	2409
323	Tomasz	Krawczyk	Politechnika Informatyczno-Elektroniczna	5	Sanok	71-890	II	1655
324	Andrzej	Knot	Uniwersytet Pedagogiczny	9	Jastrzêbie-Zdrój	51-394	I	356
325	Mateusz	Buczek	Politechnika Królewska	2	Oœwiêcim	27-702	I	2275
326	Piotr	Tyborowski	Uniwersytet Królewski	7	Katowice	72-241	III	2325
327	Klaudia	Kotowicz	Politechnika Informatyczno-Elektroniczna	3	Katowice	72-241	I	1950
328	Mateusz	Bartoszewski	Politechnika Informatyczno-Elektroniczna	5	Miko³ów	96-497	I	2149
329	Michal	Antkowicz	Uniwersytet Królewski	2	Gliwice	11-608	I	2265
330	Barbara	Bakan	Politechnika Informatyczno-Elektroniczna	2	Radom	43-586	I	1218
331	Grzegorz	Styczen	Politechnika Królewska	5	Szczecinek	48-418	III	931
332	Agata	Babulak	Politechnika Królewska	2	Lwówek Sl¹ski	11-782	I	2170
333	Ewelina	Kocharyan	Politechnika Informatyczno-Elektroniczna	3	¯ory	29-724	I	1118
334	Barbara	Solska	Uniwersytet Sportu i Turystyki	3	RogoŸnik	74-768	I	678
335	Dominik	Kondratowicz	Uniwersytet Królewski	2	Pszczyna	53-858	V	2209
336	Kacper	Wozniak	Uniwersytet Pedagogiczny	9	Lublin	79-726	V	1897
337	Jagna	Meller	Politechnika Informatyczno-Elektroniczna	5	Koniaków	34-607	V	3247
338	Gabriela	Mroz	Uniwersytet Królewski	7	Siemianowice Sl¹skie	09-006	I	1033
339	Mateusz	Bernacki	Uniwersytet Królewski	2	Wroc³aw	62-182	III	846
340	Anna	Cender	Uniwersytet Pedagogiczny	5	Miechów	47-553	I	2190
341	Ewa	Seweryn	Uniwersytet Królewski	5	Racibórz	00-355	I	1206
342	Roza	Biernaczyk	Politechnika Królewska	7	Rybnik	24-983	IV	378
343	Andrzej	Pyza	Politechnika Królewska	5	Nowy S¹cz	62-813	I	788
344	Henryk	Mordyan	Politechnika Informatyczno-Elektroniczna	3	Tarnobrzeg	85-266	I	1126
345	Oskar	Szanca	Politechnika Królewska	3	Racibórz	00-355	I	2257
346	Jakub	Kucharski	Politechnika Królewska	2	Szamotu³y	64-698	III	2144
347	Jan	Krzyzewski	Uniwersytet Rolniczy	3	Ogrodzieniec	82-082	II	1379
348	Jan	Dziekan	Politechnika Królewska	3	Siemianowice Sl¹skie	09-006	I	2815
349	Zofia	Kajzer	Uniwersytet Rolniczy	8	Dêbowiec	36-478	II	905
350	Iwona	Pawlowska	Uniwersytet Ekonomiczny	3	Lublin	79-726	III	2942
351	Oktawian	Kadej	Akademia Sztuk Piêknych	8	Ogrodniki	14-095	I	2668
352	Jadwiga	Beben	Politechnika Informatyczno-Elektroniczna	4	KuŸnia Raciborska	78-122	V	2998
353	Katarzyna	Czader	Politechnika Królewska	1	Nowy S¹cz	62-813	I	353
354	Zuzanna	Rutkowska	Politechnika Informatyczno-Elektroniczna	2	Rybnik	24-983	I	2320
355	Franciszek	Mikulski	Politechnika Informatyczno-Elektroniczna	3	Wojkowice	84-273	II	598
356	Aleksander	Chinski	Politechnika Informatyczno-Elektroniczna	2	Wroc³aw	62-182	I	3251
357	Bartlomiej	Kardys	Uniwersytet Królewski	2	Izbica Kujawska	02-756	I	1646
358	Katarzyna	Pakulska	Uniwersytet Królewski	2	Jaworzynka	56-921	I	767
359	Jakub	Piotrowski	Politechnika Informatyczno-Elektroniczna	5	Tychy	76-939	III	513
360	Irena	Fudecka	Politechnika Informatyczno-Elektroniczna	5	Pilica	15-308	I	3215
361	Krzysztof	Lis	Politechnika Informatyczno-Elektroniczna	2	Gliwice	11-608	I	2032
362	Grazyna	Chojacka	Politechnika Informatyczno-Elektroniczna	2	Ogrodzieniec	82-082	I	2543
363	Kamil	Tokarz	Uniwersytet Rolniczy	2	Szczecinek	48-418	V	880
364	Agnieszka	Nawrot	Politechnika Informatyczno-Elektroniczna	2	Przemyœl	38-959	I	1142
365	Ewa	Chiluta	Politechnika Królewska	8	Nowy Targ	84-043	I	1924
366	Joanna	Chodyra	Politechnika Królewska	2	Koniaków	34-607	I	3225
367	Jacek	Winogrodzki	Politechnika Informatyczno-Elektroniczna	3	Ogrodniki	14-095	I	1004
368	Karol	Anarchista	Politechnika Informatyczno-Elektroniczna	3	D¹browa Górnicza	75-727	II	2716
369	Walery	Latka	Politechnika Informatyczno-Elektroniczna	2	P³ock	04-688	V	1126
370	Jaroslaw	Sierpien	Politechnika Informatyczno-Elektroniczna	2	Tarnowskie Góry	24-243	III	831
371	Kaja	Karnawal	Politechnika Informatyczno-Elektroniczna	2	K³omnice	43-045	IV	2377
372	Andrzej	Smietanka	Uniwersytet Królewski	2	Szczekociny	66-008	I	1447
373	Eustachy	Banaszek	Uniwersytet Królewski	2	Siemianowice Sl¹skie	09-006	I	2407
374	Barbara	Marczak	Politechnika Informatyczno-Elektroniczna	5	Sosnowiec	14-721	I	1566
375	Jaroslaw	Kata	Uniwersytet Ekonomiczny	5	Lublin	79-726	I	2437
376	Urszula	Wawrzynczyk	Politechnika Informatyczno-Elektroniczna	2	Katowice	72-241	II	856
377	Anita	Wiwatowicz	Politechnika Informatyczno-Elektroniczna	4	Rabka	30-698	I	399
378	Weronika	Zawadzka	Uniwersytet Królewski	2	Ciechanów	37-640	I	1859
379	Wioletta	Kucharska	Politechnika Królewska	2	Baborów	48-364	II	1209
380	Piotr	Banalow	Uniwersytet Sportu i Turystyki	5	Zamoœæ	99-773	I	1025
381	Anna	Kaczmarek	Politechnika Informatyczno-Elektroniczna	3	Terespol	22-593	III	2076
382	Ewelina	Ewertowska	Politechnika Informatyczno-Elektroniczna	9	Pyrzowice	49-345	I	2601
383	Slawomira	Czerwiec	Uniwersytet Królewski	2	Che³m	37-997	V	2207
384	Ewa	Skrzeliczka	Uniwersytet Sportu i Turystyki	2	Sosnowiec	14-721	I	2312
385	Martyna	Piotrkowska	Uniwersytet Królewski	5	Myszków	91-786	I	1137
386	Tomasz	Nawrot	Politechnika Informatyczno-Elektroniczna	9	Leszno	90-272	II	383
387	Kamil	Kildarewicz	Uniwersytet Królewski	5	Tomaszów Lubelski	95-084	I	1834
388	Wlodzimierz	Komik	Politechnika Informatyczno-Elektroniczna	2	Radom	43-586	III	1032
389	Bartlomiej	Wrzesien	Uniwersytet Królewski	5	Œwiêtoch³owice	38-932	IV	2639
390	Emilia	Katanak	Politechnika Informatyczno-Elektroniczna	2	Gliwice	11-608	I	1422
391	Bartosz	Pawlowski	Politechnika Informatyczno-Elektroniczna	5	Zambrów	53-324	I	1150
392	Krzysztof	Nisiewicz	Uniwersytet Królewski	2	Oborniki	33-160	I	1280
393	Barbara	Mianowska	Politechnika Informatyczno-Elektroniczna	2	Sosnowiec	14-721	I	486
394	Adam	Loziczonek	Politechnika Informatyczno-Elektroniczna	5	KuŸnia Raciborska	78-122	II	2100
395	Karol	Antonowicz	Politechnika Informatyczno-Elektroniczna	2	Siedlce	14-461	I	654
396	Anna	Klemczak	Politechnika Informatyczno-Elektroniczna	2	Rabka	30-698	I	1814
397	Mieczyslawa	Szymczyk	Politechnika Informatyczno-Elektroniczna	2	Tychy	76-939	I	1136
398	Karol	Zalewski	Politechnika Informatyczno-Elektroniczna	2	Leszno	90-272	I	2978
399	Seweryna	Kotek	Politechnika Informatyczno-Elektroniczna	2	Bielsk Podlaski	96-087	II	949
400	Jowita	Adamska	Politechnika Informatyczno-Elektroniczna	2	Elbl¹g	10-656	IV	1771
401	Tomasz	Niczyj	Politechnika Królewska	2	Na³êczów	83-630	V	3295
402	Maja	Mazurkiewicz	Politechnika Królewska	2	Istebna	22-654	I	511
403	Alicja	Fedoruk	Politechnika Królewska	3	Sanok	71-890	I	2482
404	Jan	Ciebiera	Politechnika Informatyczno-Elektroniczna	3	Katowice	72-241	I	2898
405	Urszula	Sielecka	Uniwersytet Królewski	3	Bo¿ewo	94-896	II	435
406	Ewelina	Katowicka	Politechnika Informatyczno-Elektroniczna	2	Chy¿ne	76-235	I	2357
407	Kinga	Wronska	Politechnika Informatyczno-Elektroniczna	5	Lubaczów	60-915	II	3271
408	Ewa	Gruszczynska	Wy¿sza Szko³a Techniczna	2	Olkusz	19-255	I	3337
409	Jan	Urbanski	Wy¿sza Szko³a Techniczna	2	Czêstochowa	86-116	I	2124
410	Leslaw	Pawlica	Politechnika Królewska	10	Szczekociny	66-008	I	3258
411	Barbara	Przybylek	Uniwersytet Sportu i Turystyki	10	Izbica Kujawska	02-756	III	2187
412	Roza	Szklarczyk	Politechnika Informatyczno-Elektroniczna	3	Pyrzyce	76-362	II	2605
413	Anastazja	Gruzin	Politechnika Informatyczno-Elektroniczna	9	Kêdzierzyn-KoŸle	81-133	V	983
414	Dawid	Trzebiatowski	Politechnika Informatyczno-Elektroniczna	2	Przasnysz	81-084	I	2037
415	Roman	Hajtowicz	Uniwersytet Królewski	2	Myszków	91-786	III	751
416	Ewelia	Kolanko	Uniwersytet Królewski	2	D¹browa Górnicza	75-727	I	3336
417	Mateusz	Majewski	Politechnika Informatyczno-Elektroniczna	5	Gliwice	11-608	II	2270
418	Jaroslaw	Krema	Politechnika Informatyczno-Elektroniczna	5	Chorzów	97-545	V	1777
419	Lucyna	Arabas	Politechnika Królewska	2	Zamoœæ	99-773	I	1000
420	Mateusz	Orlicki	Politechnika Informatyczno-Elektroniczna	2	Kêdzierzyn-KoŸle	81-133	I	2467
421	Sebastian	Alot	Politechnika Informatyczno-Elektroniczna	3	Ostro³êka	60-815	II	634
422	Jadwiga	Bober	Uniwersytet Sportu i Turystyki	2	Na³êczów	83-630	IV	3025
423	Gracja	Kozlowska	Uniwersytet Królewski	2	Limanowa	65-385	I	3330
424	Tomasz	Bronikowski	Politechnika Informatyczno-Elektroniczna	9	Konin	39-551	I	1304
425	Andrzej	Latacki	Uniwersytet Królewski	5	Pilica	15-308	II	1518
426	Kamil	Babula	Politechnika Informatyczno-Elektroniczna	2	Rybnik	24-983	I	1058
427	Czeslaw	Augustyneczek	Politechnika Królewska	5	Tychy	76-939	I	524
428	Anna	Hebda	Politechnika Informatyczno-Elektroniczna	2	Wroc³aw	62-182	V	1070
429	Bartosz	Bonkowski	Politechnika Informatyczno-Elektroniczna	3	Œwiêtoch³owice	38-932	I	983
430	Jozefa	Wysocka	Politechnika Informatyczno-Elektroniczna	2	Wroc³aw	62-182	II	2497
431	Justyna	Firlej	Uniwersytet Rolniczy	2	Prudnik	09-823	I	1919
432	Jadwiga	Wawer	Uniwersytet Królewski	2	Soœnicowice	15-658	II	2672
433	Michal	Klimisz	Politechnika Informatyczno-Elektroniczna	8	Tarnów	87-348	III	3092
434	Agnieszka	Bartkowiak	Politechnika Informatyczno-Elektroniczna	5	Zawiercie	58-922	I	3034
435	Ryszard	Siennicki	Uniwersytet Ekonomiczny	2	Wojkowice	84-273	II	2978
436	Marta	Gilowska	Politechnika Informatyczno-Elektroniczna	2	Jas³o	92-050	I	1572
437	Honorata	Caban	Politechnika Informatyczno-Elektroniczna	4	Kogutek	99-754	II	689
438	Franciszek	Szybinski	Politechnika Królewska	2	Lublin	79-726	V	1776
439	Emila	Nikiel	Uniwersytet Królewski	2	Rajcza	18-286	I	1849
440	Jan	Jasinski	Politechnika Królewska	3	Œwiecko	47-842	I	962
441	Halina	Lakomska	Uniwersytet Królewski	5	Brzesko	96-703	I	863
442	Teofil	Wina	Politechnika Królewska	3	Rzeszów	89-735	IV	1963
443	Teresa	Krzesaj	Politechnika Informatyczno-Elektroniczna	5	Siemianowice Sl¹skie	09-006	II	2126
444	Karol	Mroczek	Politechnika Informatyczno-Elektroniczna	3	Jaworzynka	56-921	V	2947
445	Jagna	Urban	Politechnika Królewska	2	Olsztyn	44-718	I	1098
446	Szymon	Maron	Politechnika Królewska	2	Miko³ów	96-497	IV	2372
447	Lucjusz	Tokarczyk	Politechnika Informatyczno-Elektroniczna	3	Miko³ajki	83-977	II	985
448	Krzysztof	Badura	Uniwersytet Ekonomiczny	3	Miko³ów	96-497	I	637
449	Konstanty	Banasikowski	Politechnika Informatyczno-Elektroniczna	2	Alwernia	27-938	I	2568
450	Krzysztof	Lipinski	Uniwersytet Muzyczny	4	Na³êczów	83-630	I	2635
451	Anna	Dworecka	Politechnika Królewska	2	Wa³brzych	62-834	I	2106
452	Kinga	Celeborska	Politechnika Informatyczno-Elektroniczna	6	Gostyñ	97-023	I	940
453	Mateusz	Bednarek	Politechnika Informatyczno-Elektroniczna	3	Legionowo	36-889	I	507
454	Stanislaw	Anczewski	Politechnika Informatyczno-Elektroniczna	2	Œwiêtoch³owice	38-932	II	2305
455	Szymon	Wawron	Uniwersytet Królewski	2	Katowice	72-241	II	3312
456	Danuta	Banaszczykiewicz	Politechnika Informatyczno-Elektroniczna	2	Ogrodzieniec	82-082	I	2423
457	Tymon	Abacki	Uniwersytet Ekonomiczny	5	Kêdzierzyn-KoŸle	81-133	III	963
458	Ewelina	Blada	Politechnika Informatyczno-Elektroniczna	2	Terespol	22-593	IV	1961
459	Wieslawa	Bedynska	Uniwersytet Królewski	4	Koniaków	34-607	II	593
460	Bartosz	Dudek	Politechnika Informatyczno-Elektroniczna	2	Œwiecko	47-842	IV	2948
461	Tomasz	Kaczmarek	Uniwersytet Ekonomiczny	5	Wodzis³aw Sl¹ski	83-544	I	1140
462	Aleksander	Adamczyk	Uniwersytet Rolniczy	2	Mirów	69-389	V	1260
463	Kinga	Kawka	Uniwersytet Królewski	4	Olkusz	19-255	I	2512
464	Morfeusz	Grodecki	Akademia Sztuk Piêknych	8	Che³m	37-997	I	1713
465	Jerzy	Bodnarczyk	Politechnika Informatyczno-Elektroniczna	5	Piechowice	57-943	I	3260
466	Paulina	Dykiel	Politechnika Informatyczno-Elektroniczna	1	Jastrzêbie-Zdrój	51-394	I	1995
467	Adam	Bednarczyk	Politechnika Informatyczno-Elektroniczna	2	Krapkowice	94-560	I	1303
468	Barbara	Olszewska	Uniwersytet Królewski	2	Baborów	48-364	IV	1528
469	Wieslawa	Barcisz	Politechnika Królewska	2	Oœwiêcim	27-702	II	1278
470	Pawel	Kowal	Uniwersytet Królewski	5	Wadowice	47-222	V	3125
471	Monika	Rybicka	Uniwersytet Ekonomiczny	3	Kêdzierzyn-KoŸle	81-133	I	1111
472	Adam	Grabczak	Uniwersytet Rolniczy	5	Limanowa	65-385	IV	1116
473	Jan	Kozak	Uniwersytet Pedagogiczny	4	E³k	05-563	III	3021
474	Wiera	Augustowska	Politechnika Informatyczno-Elektroniczna	8	K³omnice	43-045	II	872
475	Lew	Wiejski	Akademia Sztuk Piêknych	7	Katowice	72-241	I	1787
476	Boguslawa	Sobota	Politechnika Informatyczno-Elektroniczna	2	Siemianowice Sl¹skie	09-006	II	2866
477	Miroslaw	Chochowski	Akademia Sztuk Piêknych	1	Tarnobrzeg	85-266	I	2625
478	Halina	Kuchar	Politechnika Królewska	2	Katowice	72-241	I	859
479	Zbigniew	Zajac	Uniwersytet Królewski	1	Wadowice	47-222	V	1589
480	Edyta	Klan	Politechnika Królewska	3	Sosnowiec	14-721	V	1683
481	Celina	Krotoszyn	Uniwersytet Królewski	5	Bêdzin	69-501	III	3139
482	Katarzyna	Skutnik	Politechnika Informatyczno-Elektroniczna	3	Siedlce	14-461	I	3124
483	Krzysztof	But	Politechnika Królewska	5	Rybnik	24-983	IV	2273
484	Bartosz	Zalecki	Politechnika Informatyczno-Elektroniczna	2	Bytom	80-339	I	1127
485	Irena	Tarnowska	Uniwersytet Pedagogiczny	3	Suwa³ki	91-271	I	2158
486	Piotr	Murarz	Politechnika Królewska	2	Nysa	72-297	III	2893
487	Justyna	Biegaj	Politechnika Królewska	7	Œwinoujskie	13-345	I	1770
488	Bohdan	Mrozowski	Politechnika Informatyczno-Elektroniczna	3	Piwniczna-Zdrój	09-592	I	2851
489	Karina	Kwiatkowska	Politechnika Informatyczno-Elektroniczna	3	Bia³a Podlaska	00-425	IV	2751
490	Katarzyna	Kruczek	Politechnika Informatyczno-Elektroniczna	2	Tomaszów Lubelski	95-084	I	2107
491	Anna	Barska	Politechnika Informatyczno-Elektroniczna	2	Ogrodzieniec	82-082	II	1047
492	Marek	Piec	Uniwersytet Królewski	2	Kruszwica	33-294	V	3259
493	Marek	Grzeszczak	Uniwersytet Królewski	2	Miko³ów	96-497	I	508
494	Leslaw	Bak	Politechnika Królewska	5	Ustroñ	51-637	I	2799
495	Franciszka	Czemisow	Politechnika Informatyczno-Elektroniczna	5	Gorki Male	36-984	II	456
496	Michal	Sawicki	Politechnika Informatyczno-Elektroniczna	3	Olkusz	19-255	II	451
497	Sabina	Balcerek	Uniwersytet Królewski	2	Jas³o	92-050	II	1840
498	Aleksandra	Cichawacz	Politechnika Królewska	2	Œwieradów-Zdrój	01-685	I	3169
499	Kinga	Mlynarczyk	Uniwersytet Królewski	5	Sosnowiec	14-721	II	2543
500	Witold	Kupis	Uniwersytet Królewski	3	S³awków	42-081	II	1760
501	Janusz	Bokowski	Uniwersytet Pedagogiczny	5	Bielsk Podlaski	96-087	I	2891
502	Elzbieta	Jaworska	Akademia Sztuk Piêknych	5	G³ucho³azy	30-136	II	804
503	Marzena	Por	Uniwersytet Królewski	7	Rajcza	18-286	II	2715
504	Beata	Wittek	Politechnika Informatyczno-Elektroniczna	1	Tarnobrzeg	85-266	V	1008
505	Wojciech	Rydawski	Politechnika Królewska	5	Wa³brzych	62-834	II	2711
506	Nikodem	Dyzma	Politechnika Informatyczno-Elektroniczna	2	RogoŸnik	74-768	II	3079
507	Wanda	Szalobryt	Politechnika Królewska	3	Bielsk Podlaski	96-087	II	701
508	Andrzej	Okon	Politechnika Królewska	2	Szczyrk	75-361	III	1556
509	Anita	Chalbinska	Politechnika Informatyczno-Elektroniczna	3	Witonia	21-857	I	1772
510	Agnieszka	Badowska	Politechnika Królewska	3	Nowy Targ	84-043	I	1372
511	Tomasz	Kajdasiewicz	Politechnika Informatyczno-Elektroniczna	2	Czêstochowa	86-116	III	1486
512	Piotr	Januszewski	Politechnika Królewska	3	Przemyœl	38-959	I	1613
513	Edyta	Styczen	Uniwersytet Królewski	2	Bydgoszcz	29-199	V	3105
514	Iwona	Andrzejewska	Uniwersytet Królewski	3	Ruda Sl¹ska	12-684	I	2241
515	Danuta	Kapusta	Politechnika Informatyczno-Elektroniczna	5	Myszków	91-786	I	2708
516	Ruta	Sawa	Uniwersytet Królewski	5	Mys³owice	13-220	II	2726
517	Izabella	Cieslak	Uniwersytet Ekonomiczny	2	Sura¿	76-117	I	1100
518	Tadeusz	Krason	Politechnika Informatyczno-Elektroniczna	5	M³ynarze	72-438	IV	1894
519	Marcin	Gorgon	Politechnika Królewska	4	Pyrzowice	49-345	V	2681
520	Witold	Halama	Uniwersytet Królewski	2	Gryfice	51-783	II	1557
521	Teresa	Gryglak	Politechnika Informatyczno-Elektroniczna	3	Limanowa	65-385	II	3117
522	Jolanta	Turlej	Politechnika Informatyczno-Elektroniczna	5	E³k	05-563	V	3344
523	Kamil	Gruca	Uniwersytet Królewski	2	Karniewo	21-405	I	3300
524	Daniel	Filipek	Politechnika Informatyczno-Elektroniczna	2	Katowice	72-241	I	2302
525	Beata	Dabrowska	Politechnika Informatyczno-Elektroniczna	5	Katowice	72-241	II	2576
526	Krzysztof	Cebula	Uniwersytet Królewski	2	Olkusz	19-255	I	3155
527	Anna	Horbacz	Politechnika Królewska	2	Chorzów	97-545	I	1079
528	Krzysztof	Barski	Uniwersytet Królewski	5	Ogrodzieniec	82-082	I	1047
529	Wanda	Pacula	Uniwersytet Rolniczy	3	Katowice	72-241	II	2350
530	Ewa	Barwicka	Uniwersytet Królewski	5	Nowy S¹cz	62-813	I	600
531	Katarzyna	Bartecka	Politechnika Królewska	8	Chorzów	97-545	I	350
532	Natalia	Pypno	Politechnika Informatyczno-Elektroniczna	5	Radom	43-586	I	1139
533	Maciej	Knapik	Politechnika Informatyczno-Elektroniczna	3	Istebna	22-654	IV	1056
534	Katarzyna	Ochocka	Uniwersytet Królewski	2	Siewierz	65-885	I	750
535	Agnieszka	Otwocka	Politechnika Informatyczno-Elektroniczna	2	Racibórz	00-355	I	3176
536	Bozena	Chmielewska	Politechnika Informatyczno-Elektroniczna	5	Istebna	22-654	II	1835
537	Maria	Krasiczynska	Uniwersytet Królewski	2	Tarnobrzeg	85-266	I	1623
538	Katarzyna	Budziak	Uniwersytet Królewski	2	Nowy Targ	84-043	II	1153
539	Adam	Gumowski	Politechnika Informatyczno-Elektroniczna	5	Zamoœæ	99-773	I	3059
540	Alina	Charemska	Politechnika Informatyczno-Elektroniczna	5	Mys³owice	13-220	I	1847
541	Zbigniew	Jaworski	Uniwersytet Królewski	2	Mys³owice	13-220	III	3238
542	Marcin	Grabysz	Uniwersytet Sportu i Turystyki	2	Bielsk Podlaski	96-087	I	2125
543	Jan	Chylak	Politechnika Informatyczno-Elektroniczna	5	Gliwice	11-608	I	1224
544	Grzegorz	Sokolowski	Politechnika Królewska	9	Pu³awy	66-219	III	606
545	Anna	Smela	Politechnika Informatyczno-Elektroniczna	2	Soœnicowice	15-658	I	1375
546	Maria	Kolka	Uniwersytet Rolniczy	3	Soœnicowice	15-658	II	790
547	Krzysztof	Groza	Politechnika Królewska	2	Strzelce Opolskie	60-596	I	2014
548	Katarzyna	Friedek	Politechnika Królewska	8	Wis³a	99-436	I	898
549	Piotr	Szczerek	Uniwersytet Królewski	3	Rajcza	18-286	III	2896
550	Edward	Bebanek	Uniwersytet Królewski	3	Bielsk Podlaski	96-087	I	1580
551	Grzegorz	Kinski	Politechnika Informatyczno-Elektroniczna	5	Mys³owice	13-220	I	3000
552	Patryk	Brylok	Politechnika Informatyczno-Elektroniczna	5	Suwa³ki	91-271	I	3007
553	Ewa	Oszczudlowska	Uniwersytet Ekonomiczny	2	Przemyœl	38-959	I	1141
554	Irma	Iwasiow	Politechnika Królewska	2	RogoŸnik	74-768	I	1201
555	Tomasz	Muc	Uniwersytet Rolniczy	4	Cieszyn	68-101	IV	1243
556	Piotr	Cholewa	Uniwersytet Pedagogiczny	3	Hrebenne	37-873	II	2318
557	Antoni	Chmielacz	Uniwersytet Rolniczy	8	Strzelce Opolskie	60-596	I	2952
558	Agnieszka	Witas	Politechnika Królewska	7	M³ynarze	72-438	V	1914
559	Andrzej	Baran	Politechnika Informatyczno-Elektroniczna	8	Wodzis³aw Sl¹ski	83-544	I	1390
560	Feliks	Bawarski	Uniwersytet Królewski	3	Katowice	72-241	I	433
561	Kinga	Matuszyk	Politechnika Królewska	2	Zabrze	91-525	I	562
562	Grzegorz	Borutawski	Politechnika Królewska	5	Nowy Targ	84-043	I	2859
563	Wiktor	Basajski	Politechnika Królewska	3	Ruda Sl¹ska	12-684	II	920
564	Sylwester	Jasinski	Politechnika Informatyczno-Elektroniczna	3	Szczyrk	75-361	III	1216
565	Zofia	Ciechowska	Uniwersytet Królewski	3	Szczyrk	75-361	II	2652
566	Adam	Bialczak	Politechnika Informatyczno-Elektroniczna	2	Szczekociny	66-008	I	1676
567	Filip	Baczek	Akademia Sztuk Piêknych	5	Tychy	76-939	I	459
568	Felicja	Latas	Uniwersytet Królewski	2	Mys³owice	13-220	II	592
569	Aleksy	Dudek	Uniwersytet Pedagogiczny	1	Tychy	76-939	II	2544
570	Krzysztof	Chorzyk	Politechnika Informatyczno-Elektroniczna	5	Limanowa	65-385	I	1037
571	Krzysztof	Kryszkiewicz	Uniwersytet Królewski	7	Istebna	22-654	III	390
572	Robert	Zielinski	Politechnika Królewska	2	Nowy Targ	84-043	V	2538
573	Zachariasz	Msciwujewski	Uniwersytet Królewski	5	¯yrardów	51-006	II	3044
574	Jakub	Dukowski	Uniwersytet Królewski	3	Chorzów	97-545	I	2983
575	Anastazja	Litwin	Uniwersytet Rolniczy	5	Nowy Targ	84-043	I	889
576	Tomasz	Gronus	Uniwersytet Królewski	5	Terespol	22-593	V	389
577	Zofia	Adamowicz	Uniwersytet Królewski	8	K³omnice	43-045	II	439
578	Wislaw	Kowalski	Politechnika Informatyczno-Elektroniczna	5	Radom	43-586	II	3208
579	Konstantyn	Piatek	Uniwersytet Królewski	5	Legnica	58-930	I	350
580	Paulina	Uszek	Politechnika Królewska	2	Dêblin	53-807	I	1937
581	Andrzej	Kuras	Akademia Sztuk Piêknych	5	Ko³baskowo	95-186	V	838
582	Beata	Cagara	Politechnika Informatyczno-Elektroniczna	3	Giera³towice	04-834	IV	1698
583	Barbara	Balwierz	Uniwersytet Królewski	1	Krzeszowice	91-488	V	2746
584	Anna	Antosiewicz	Uniwersytet Pedagogiczny	2	Siemianowice Sl¹skie	09-006	I	569
585	Sara	Koterba	Uniwersytet Królewski	5	Zawiercie	58-922	I	1389
586	Miroslawa	Krasuska	Politechnika Królewska	7	Myszków	91-786	III	3018
587	Patrycja	Kochanska	Uniwersytet Królewski	5	Nowy S¹cz	62-813	I	1111
588	Tomasz	Ichniowski	Uniwersytet Królewski	3	Krapkowice	94-560	II	783
589	Stanislaw	Bialkowski	Politechnika Królewska	5	S³awków	42-081	II	3244
590	Piotr	Kalicinski	Uniwersytet Królewski	5	Miko³ów	96-497	III	1155
591	Roman	Banasik	Uniwersytet Rolniczy	3	Sanok	71-890	I	2845
592	Michal	Zawadzki	Politechnika Królewska	5	Rajcza	18-286	I	1501
593	Klaudia	Janecka	Akademia Sztuk Piêknych	8	Jejkowice	67-738	I	1257
594	Danuta	Chyza	Politechnika Informatyczno-Elektroniczna	3	Rzeszów	89-735	III	1787
595	Bartosz	Grzesik	Uniwersytet Królewski	1	Nysa	72-297	I	725
